title,star,comments
狸想世界,4.0,"那個陪伴我無數童年的皮克斯動畫工作室，曾在《料理鼠王》裡告訴我——「料理非難事，人人都有機會成為食神」；也在《Cars 3：閃電再起》裡提醒我——「不要畏懼失敗，你應該要擔心沒有機會嘗試」當我期待再次遇見那份童年的魔法時，這次的主角，卻變成了一隻河狸。
由丹尼爾·鍾執導的《狸想世界》，大膽地將類似《熊熊遇見你》的美式幽默，融入皮克斯一貫細膩又奇妙的敘事之中。
故事在動物與人類的視角之間來回穿梭，看似荒誕，卻在不知不覺中，讓我們與這個世界重新建立連結。
《狸想世界》在可愛與瘋狂的外表之下，其實講的是一個關於「理解與被理解」的溫柔故事。
如果你喜歡《熊熊遇見你》那種帶點ㄎㄧㄤ、卻又真誠的幽默，那你一定會愛上《狸想世界》裡，那份剛剛好的溫暖。"
狸想世界,5.0,👍👍👍
狸想世界,5.0,適合全家一起看的電影！超級好看又好笑！
狸想世界,4.5,"意識移轉這種事不是只有阿凡達，也不是只有人類可以移轉，連毛毛蟲也來参一腳。
但這不是重點，不要干預自然才說故事的主軸，擇善固執則是打破主軸的主軸。皮克斯動畫小孩的角度有他們想要的歡樂，成人的視角有另一番的弦外之音。很推"
狸想世界,5.0,畫得超級可愛😍
狸想世界,5.0,Good
狸想世界,5.0,"老實說上個禮拜搶先口碑場，我有過去欣賞3D版本的Movie哦!🤭
這次決定2刷這部最新動畫Movie，最好笑的是喬治國王向梅寶抗議森林出現惱人噪音的時候，連同許多動物來模仿不同聲音的畫面真是笑死我了！😂
而且這次邀請傳奇奧斯卡金像獎影后梅莉史翠普，由她親自配音昆蟲女王展現霸氣十足真是Surprises Me!!🏆🪩🎊🎉🌈♥️💋
當然還有梅寶變成河狸，和阿廢還有蜥蜴湯姆拯救傑瑞市長免遭毒手，使用文字轉語音完整表達每句話真的蠻有趣哦！😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰♥️♥️♥️♥️♥️♥️💋💋💋💋💋💋"
狸想世界,5.0,超好看！
狸想世界,5.0,以為是皮克斯療癒搞笑喜劇，結果我竟然還看到哭🤣
狸想世界,4.5,❤️🦫❤️
